更新时间,#genre#
2025-03-25 02:08:41,url
央视频道,#genre#:
CCTV13,http://223.145.224.129:8000/udp/239.76.253.93:9000
CCTV13,http://223.145.224.118:8000/udp/239.76.253.93:9000
CCTV13,http://223.145.224.129:8000/udp/239.76.246.93:1234
CCTV13,http://223.145.224.118:8000/udp/239.76.246.93:1234
CCTV13,http://223.145.224.129:8000/udp/239.76.253.93:9000
CCTV14,http://223.145.224.118:8000/udp/239.76.246.164:1234
CCTV14,http://223.145.224.129:8000/udp/239.76.246.164:1234
CCTV14,http://223.145.224.118:8000/udp/239.76.246.164:1234
CCTV14,http://223.145.224.118:8000/udp/239.76.253.164:9000
CCTV14,http://223.145.224.118:8000/udp/239.76.253.164:9000
CCTV14,http://223.145.224.118:8000/udp/239.76.246.164:1234
CCTV14,http://223.145.224.118:8000/udp/239.76.253.164:9000
CCTV14,http://223.145.224.118:8000/udp/239.76.253.164:9000
CCTV14,http://223.145.224.129:8000/udp/239.76.246.164:1234
CCTV14,http://223.145.224.129:8000/udp/239.76.252.64:9000
CCTV15,http://223.145.224.118:8000/udp/239.76.245.252:1234
CCTV15,http://223.145.224.129:8000/udp/239.76.245.252:1234
CCTV15,http://223.145.224.129:8000/udp/239.76.252.65:9000
CCTV15,http://223.145.224.129:8000/udp/239.76.245.252:1234
CCTV15,http://223.145.224.118:8000/udp/239.76.245.252:1234
CCTV15,http://223.145.224.118:8000/udp/239.76.252.65:9000
CCTV15,http://223.145.224.118:8000/udp/239.76.245.252:1234
CCTV15,http://223.145.224.129:8000/udp/239.76.252.65:9000
CCTV15,http://223.145.224.129:8000/udp/239.76.252.65:9000
CCTV15,http://223.145.224.129:8000/udp/239.76.245.252:1234
CCTV16,http://223.145.224.118:8000/udp/239.76.246.98:1234
CCTV16,http://223.145.224.129:8000/udp/239.76.246.98:1234
CCTV16,http://223.145.224.129:8000/udp/239.76.246.214:1234
CCTV16,http://223.145.224.129:8000/udp/239.76.254.200:9000
CCTV16,http://223.145.224.129:8000/udp/239.76.254.200:9000
CCTV16,http://223.145.224.129:8000/udp/239.76.246.98:1234
